id,title,release_date,release_year,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,genres,genre_count,in_collection,adult,status
383785,Kung Fu Yoga,2017-01-27,2017,65000000,254212245,107,3.6646,5.871,429,zh,"Comedy, Mystery, Family, Action, Adventure",5,True,False,Released
383807,Heal the Living,2016-11-01,2016,10000000,2225770,104,0.6977,6.443,230,fr,Drama,1,False,False,Released
383809,Thanks Boss!,2016-02-24,2016,162297,3800000,84,0.2259,7.282,142,fr,"Comedy, Documentary",2,False,False,Released
384018,Fast & Furious Presents: Hobbs & Shaw,2019-07-31,2019,200000000,760098996,137,10.0465,6.832,7705,en,"Action, Adventure, Comedy",3,False,False,Released
384680,Hostiles,2017-12-22,2017,55000000,36976336,134,6.752,6.948,2488,en,"Drama, Western, History, Adventure",4,False,False,Released
384682,Office Christmas Party,2016-11-25,2016,45000000,114500000,105,2.8102,5.706,2202,en,Comedy,1,False,False,Released
384737,Precious Cargo,2016-07-14,2016,10500000,567064,99,1.781,5.1,300,en,"Action, Crime, Thriller",3,False,False,Released
385067,Saint Petersburg,2010-10-06,2010,10000,10000,120,0.7339,5.5,19,fa,"Adventure, Comedy",2,False,False,Released
385103,Scoob!,2020-07-08,2020,90000000,28600000,94,6.0422,7.0,1799,en,"Animation, Comedy, Family, Mystery",4,False,False,Released
385128,F9,2021-05-19,2021,200000000,726229501,143,7.4183,7.009,7660,en,"Action, Adventure, Crime",3,True,False,Released
385152,Ugramm,2014-02-21,2014,564155,4231162,133,0.4487,6.563,16,kn,"Action, Drama, Thriller",3,False,False,Released
385301,Munafik,2016-02-25,2016,393894,1058591,98,0.4853,6.3,18,ms,"Horror, Mystery, Thriller",3,True,False,Released
385687,Fast X,2023-05-17,2023,340000000,704709660,142,18.2902,6.998,6268,en,"Action, Crime, Thriller",3,True,False,Released
385722,Bling,2016-05-06,2016,15000000,1404291,81,1.6351,5.7,35,en,"Family, Animation, Science Fiction",3,False,False,Released
387592,Early Man,2018-01-26,2018,50000000,53431158,89,3.0101,6.1,869,en,"Family, Comedy, Animation, Adventure",4,False,False,Released
387836,Martians vs Mexicans,2018-03-09,2018,900000,1180000,90,0.6136,8.0,90,es,"Animation, Comedy, Science Fiction",3,False,False,Released
387844,Nice Sister-In-Law,2015-11-19,2015,2000,8000,97,1.0761,5.7,26,ko,"Romance, Drama",2,True,False,Released
387845,Musudan,2016-03-03,2016,500,500,87,1.7205,5.95,10,ko,"Mystery, Thriller, Action",3,False,False,Released
388045,The Legend of the Chupacabras,2016-10-21,2016,1600000,5100000,83,2.1174,7.4,151,es,"Animation, Adventure, Fantasy, Horror, Family",5,True,False,Released
388088,Jacob's Kingdom of Heaven,2016-04-08,2016,110000,520000,145,0.6023,7.4,30,ml,"Drama, Family",2,False,False,Released
388399,Patriots Day,2016-12-12,2016,45000000,50548152,133,4.9921,7.068,2830,en,"Action, Crime, Drama, History, Thriller",5,False,False,Released
388899,A Fistful of Grapes,2016-03-17,2016,1200000,87618,93,0.2456,5.0,27,it,Comedy,1,False,False,Released
389015,"I, Tonya",2017-12-07,2017,11000000,53900000,120,4.6533,7.469,6161,en,"Drama, Comedy",2,False,False,Released
390043,The Hitman's Bodyguard,2017-08-16,2017,30000000,176586701,118,7.5728,6.893,6625,en,"Action, Comedy, Crime, Thriller",4,True,False,Released
390051,Aftermath,2017-02-28,2017,10500000,840809,94,3.6486,5.754,963,en,"Drama, Thriller",2,False,False,Released
390281,Ustica: The Missing Paper,2016-03-31,2016,3000000,90611,106,0.4525,5.5,46,it,"Drama, History",2,False,False,Released
390415,Maikäfer flieg,2016-02-11,2016,3300000,210865,109,0.4896,6.3,14,de,Drama,1,False,False,Released
390437,Ki & Ka,2016-04-01,2016,3000000,15480000,126,1.2745,5.4,63,hi,"Comedy, Romance",2,False,False,Released
390497,Tunnel,2016-08-10,2016,1000000,52444295,126,3.1198,7.289,648,ko,"Thriller, Drama",2,False,False,Released
391617,Kóblic,2016-04-14,2016,3500000,1839313,92,0.897,6.0,77,es,"Drama, Thriller",2,False,False,Released
391629,Baaghi,2016-04-29,2016,5103000,17377000,134,1.2798,6.4,144,hi,"Action, Thriller, Romance, Adventure",4,True,False,Released
391698,The Beatles: Eight Days a Week - The Touring Years,2016-09-15,2016,5,12283800,106,1.7958,7.535,382,en,"Documentary, Music",2,False,False,Released
391713,Lady Bird,2017-09-01,2017,10000000,79000000,94,5.8815,7.2,8979,en,"Drama, Comedy",2,False,False,Released
